FFSU,MS,00338,0043,04,2010,2,SODIUM CHL,,true,,,,,4/1,04/01/2010,32.7673,-89.6812,"(32.7673, -89.6812)",00338004304
FFSU,XX,00054,0163,25,2010,3,MYCOPHENOL,133220,false,870,87797.42,63113.52,24683.9,7/1,07/01/2010,,,,00054016325
MCOU,XX,60432,0092,16,2010,2,OXYBUTYNIN,160768.38,false,757,9163.03,9059.04,103.99,4/1,04/01/2010,,,,60432009216
FFSU,XX,63481,0687,06,2010,3,LIDODERM 5,3528406.84,false,87426,23567080.94,23172588.61,394492.33,7/1,07/01/2010,,,,63481068706
FFSU,XX,16252,0611,01,2010,4,MOEXIPRIL,8621,false,209,7334.77,7201.77,133,10/1,10/01/2010,,,,16252061101
FFSU,XX,55513,0144,10,2010,1,"EPOGEN 10,",27238.099,false,18310,5633107.25,2627164.2,3005943.05,1/1,01/01/2010,,,,55513014410
FFSU,XX,00603,3882,32,2010,4,HYDROCODON,1575813,false,28264,291324.55,285299.49,6025.06,10/1,10/01/2010,,,,00603388232
MCOU,PA,00781,6139,48,2010,3,AMOX CLAV,9825,false,49,2600.95,2267.44,333.51,7/1,07/01/2010,40.5773,-77.264,"(40.5773, -77.264)",00781613948
MCOU,XX,43478,0242,20,2010,2,TRETINOIN,21820,false,1017,36359.84,33581.33,2778.51,4/1,04/01/2010,,,,43478024220
FFSU,TN,59746,0115,06,2010,3,PROCHLORPE,687,false,21,144.64,144.64,0,7/1,07/01/2010,35.7449,-86.7489,"(35.7449, -86.7489)",59746011506
MCOU,PA,00904,2009,40,2010,2,ASPIRIN 5G,733,false,25,35.41,35.41,0,4/1,04/01/2010,40.5773,-77.264,"(40.5773, -77.264)",00904200940
MCOU,OR,00591,0900,30,2010,3,GLIPIZIDE,3458,false,91,1001,1001,0,7/1,07/01/2010,44.5672,-122.1269,"(44.5672, -122.1269)",00591090030
MCOU,XX,00536,4680,10,2010,3,VITAMIN B-,16827,false,543,846.28,840.18,6.1,7/1,07/01/2010,,,,00536468010
FFSU,XX,58177,0202,04,2010,3,POTASSIUM,1896,false,59,603.52,603.52,0,7/1,07/01/2010,,,,58177020204
FFSU,KY,00007,3373,13,2010,4,COREG CR,5733,false,188,23062.75,23062.75,0,10/1,10/01/2010,37.669,-84.6514,"(37.669, -84.6514)",00007337313
